Id,Username,Event Type,Platform,Item,Price (ETH),Price ($),From,To,Date,Original Creator
623637,itsheyjeli,Sale,NitfityGateway,FEWO DRIP #121/300,0,340000,Wishy4,Hey Jeli,29/03/2021,RTFKT STUDIOS
496126,itsheyjeli,Sale,NitfityGateway,Arcade Machine Dreams: Invasion #28/112,0,90000,Sugar,Hey Jeli,19/03/2021,Brendan Dawes
729780,itsheyjeli,Sale,NitfityGateway,FLOW  #61/294,0,215000,kermie,Hey Jeli,08/04/2021,SSX3LAU
475604,itsheyjeli,Sale,NitfityGateway,Weezy #89/162,0,80000,Lauren Penneys,Hey Jeli,17/03/2021,Klarens Malluta
100424,itsheyjeli,Sale,NitfityGateway,Weezy #89/162,0,29900,Johnna Powell,Lauren Penneys,20/01/2021,Klarens Malluta
493421,itsheyjeli,Sale,NitfityGateway,Invent #24/174,0,59900,Malik,Hey Jeli,18/03/2021,eduard_ov
168723,itsheyjeli,Sale,NitfityGateway,Invent #24/174,0,47474,Josh,Malik,16/02/2021,eduard_ov
493140,itsheyjeli,Sale,NitfityGateway,FLOW  #254/294,0,348900,Michael Pralgausky,Hey Jeli,18/03/2021,SSX3LAU
623638,itsheyjeli,Sale,NitfityGateway,i'm sure it's down here somewhere by Odious #126/250,0,222000,Gringo,Hey Jeli,29/03/2021,FEWOCiOUS x parrott_ism x Odious x Jonathan Wolfe
496141,itsheyjeli,Sale,NitfityGateway,Arcade Machine Dreams: Mutant #33/37,0,200000,theodore.endeji,Hey Jeli,19/03/2021,Brendan Dawes
505826,itsheyjeli,Sale,NitfityGateway,FLUX #81/126,0,706000,Brandon Bisch,Hey Jeli,19/03/2021,SSX3LAU
415740,itsheyjeli,Sale,NitfityGateway,FLUX #81/126,0,779900,Dheeraj,SSX3LAU,14/03/2021,SSX3LAU
494937,itsheyjeli,Sale,NitfityGateway,VIOLENCE #71/269,0,94900,bid collector 28,Hey Jeli,19/03/2021,Justin Maller
417742,itsheyjeli,Sale,NitfityGateway,VIOLENCE #71/269,0,92500,mvw105,bid collector 28,14/03/2021,Justin Maller
397076,itsheyjeli,Sale,NitfityGateway,VIOLENCE #71/269,0,89900,ngk,mvw105,12/03/2021,Justin Maller
474760,itsheyjeli,Sale,NitfityGateway,Plastic Mag (Delorean) #9/189,0,72000,CTS14,Hey Jeli,17/03/2021,Tom Yoo
178347,itsheyjeli,Sale,NitfityGateway,Plastic Mag (Delorean) #9/189,0,75000,JCastro,CTS14,17/02/2021,Tom Yoo
111420,itsheyjeli,Sale,NitfityGateway,Plastic Mag (Delorean) #9/189,0,9900,Cryptoking,JCastro,24/01/2021,Tom Yoo
98206,itsheyjeli,Sale,NitfityGateway,Plastic Mag (Delorean) #9/189,0,15000,HarveyBirdman,Cryptoking,19/01/2021,Tom Yoo
474765,itsheyjeli,Sale,NitfityGateway,Target Secured #68/111,0,85000,dun,Hey Jeli,17/03/2021,Twisted Vacancy
153689,itsheyjeli,Sale,NitfityGateway,Target Secured #68/111,0,35000,Nick Angel,dun,14/02/2021,Twisted Vacancy
65711,itsheyjeli,Sale,NitfityGateway,Target Secured #68/111,0,16600,WJ,Nick Angel,19/12/2020,Twisted Vacancy
65584,itsheyjeli,Sale,NitfityGateway,Target Secured #68/111,0,13500,Ben,WJ,19/12/2020,Twisted Vacancy
